City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
291,Havre-Saint-Pierre,CA,2020-10-31 15:50:16,50.23,-63.6,30.2,58,20,12.75
292,San Juan De La Maguana,DO,2020-10-31 15:50:16,18.81,-71.23,84.2,79,75,4.12
293,Mount Juliet,US,2020-10-31 15:50:16,36.2,-86.52,55.0,62,20,5.82
294,Rehoboth,NA,2020-10-31 15:50:17,-23.32,17.08,87.93,17,94,9.48
295,Wote,KE,2020-10-31 15:50:17,-1.78,37.63,73.2,60,75,10.31
296,Camacha,PT,2020-10-31 15:50:17,33.08,-16.33,71.6,78,20,10.29
297,Catamarca,AR,2020-10-31 15:50:17,-28.47,-65.79,84.0,23,0,4.0
298,Huaraz,PE,2020-10-31 15:50:17,-9.53,-77.53,58.69,40,100,1.05
299,Qasigiannguit,GL,2020-10-31 15:50:17,68.82,-51.19,17.6,67,75,6.93
300,Pisco,PE,2020-10-31 15:50:17,-13.7,-76.22,66.2,77,40,8.05
301,Shubarshi,KZ,2020-10-31 15:50:17,48.59,57.19,49.12,43,88,12.28
302,Djenne,ML,2020-10-31 15:50:17,13.91,-4.55,98.85,10,0,10.49
