City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Belyy Yar,RU,53.6,91.39,26.6,92,0,2.24,clear sky
283,Uyuni,BO,-20.46,-66.83,60.49,18,0,12.15,clear sky
284,Pitimbu,BR,-7.47,-34.81,82.4,74,40,11.41,scattered clouds
285,Lubango,AO,-14.92,13.49,64.42,87,100,5.59,light rain
286,La Asuncion,VE,11.03,-63.86,89.6,62,96,13.87,light rain
287,Masaka,UG,-0.33,31.73,64.22,84,100,1.57,overcast clouds
288,Malartic,CA,48.13,-78.13,39.2,93,90,11.41,overcast clouds
289,Kruisfontein,ZA,-34.0,24.73,64.99,74,22,4.0,few clouds
290,Soyo,AO,-6.13,12.37,78.6,85,100,8.7,overcast clouds
291,Borba,BR,-4.39,-59.59,96.06,43,51,0.2,light rain
292,Honningsvag,NO,70.98,25.97,41.0,80,20,17.22,few clouds
293,Kankakee,US,41.15,-87.87,41.0,44,75,25.28,broken clouds
294,Dunwoody,US,33.95,-84.33,69.01,52,20,13.87,few clouds
295,Longyearbyen,SJ,78.22,15.64,32.0,93,0,24.16,clear sky
296,Clermont,FR,49.5,2.42,64.4,88,90,20.8,overcast clouds
297,San Rafael,AR,-34.62,-68.33,85.42,14,0,15.99,clear sky
298,Kharitonovo,RU,61.4,47.5,28.78,96,0,3.69,clear sky
299,Hobyo,SO,5.35,48.53,81.07,75,1,8.03,clear sky
300,Haripur,PK,34.0,72.93,62.01,38,0,6.93,clear sky
301,Puri,IN,19.8,85.85,80.6,88,40,3.36,haze
302,Ewo,CG,-0.87,14.82,73.96,92,100,1.16,heavy intensity rain
303,Opuwo,NA,-18.06,13.84,76.93,31,61,10.11,broken clouds
304,Starodub,RU,52.58,32.76,43.83,92,100,11.25,light rain
305,San Cristobal,VE,7.77,-72.22,86.0,58,40,4.7,scattered clouds
306,Voznesenye,RU,61.01,35.48,33.53,91,0,7.07,clear sky
307,Newnan,US,33.38,-84.8,71.6,43,1,10.29,clear sky
308,Anloga,GH,5.79,0.9,82.4,83,40,11.41,scattered clouds
309,Lamu,KE,-2.27,40.9,78.8,83,20,6.93,few clouds
310,Rio Gallegos,AR,-51.62,-69.22,68.0,32,0,12.75,clear sky
311,Thana,PK,34.64,72.07,61.56,26,0,7.67,clear sky
312,Crotone,IT,39.09,17.12,57.2,100,0,5.82,clear sky
313,Bardsir,IR,29.92,56.57,46.4,19,0,9.17,clear sky
314,Road Town,VG,18.42,-64.62,86.0,66,40,11.41,scattered clouds
315,Saint-Georges,GD,12.06,-61.75,77.0,94,75,16.11,light rain
316,Tena,EC,-0.98,-77.82,68.0,94,90,6.93,light rain
317,Gryazi,RU,52.5,39.94,46.4,100,90,8.95,mist
318,Ambilobe,MG,-13.2,49.05,72.27,72,43,5.82,scattered clouds
319,Avila,ES,40.58,-5.0,57.99,71,98,3.24,overcast clouds
320,Zharkent,KZ,44.16,80.0,41.31,54,100,1.77,overcast clouds
321,Spas-Demensk,RU,54.41,34.02,41.14,93,100,9.82,light rain
322,Rakiv Lis,UA,51.62,24.92,42.08,90,0,0.63,clear sky
323,Homa Bay,KE,-0.53,34.46,73.4,60,75,8.05,broken clouds
324,Berlevag,NO,70.86,29.09,37.4,86,0,18.34,clear sky
325,Karasuk,RU,53.74,78.04,38.79,74,100,10.11,overcast clouds
326,Togur,RU,58.36,82.83,35.11,97,100,10.29,light rain
327,Copiapo,CL,-27.37,-70.33,64.4,59,0,12.75,clear sky
328,Genthin,DE,52.4,12.17,60.01,78,100,3.0,light rain
329,Meulaboh,ID,4.14,96.13,76.66,87,100,3.4,light rain
330,Bangolo,CI,7.01,-7.47,77.99,69,3,2.21,clear sky
